ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small,Registration Number,Is variable speed,Type variable output,Var output compressor,Variable output rated as fixed sp,No HSPF,Rated Total Cool Capacity W,Rated cooling power input W,Have T1 half cap results,T1_half_cap_power_rated,T1_half_cap_cooling_cap_rated,Have T1 min cap results,T1_min_cap_power_rated,T1_min_cap_cooling_cap_rated,Have low temp cool full cap results,Low temp cooling full cap power rated,Low temp cooling full cap rated,Have low temp cool half cap results,Low temp cooling half cap power rated,Low temp cooling half cap rated,Have low temp cool min cap results,Low temp cooling min cap power rated,Low temp cooling min cap rated,Rated Heating Capacity watts,Rated heating power input watts,H1_half_cap_power_rated,H1_half_cap_heat_cap_rated,Have H1 min cap results,H1_min_cap_power_rated,H1_min_cap_heat_cap_rated,Have H2 extended mode results,H2_ext_cap_power_rated,H2_ext_cap_heat_cap_rated,Have H2 full mode results,H2_full_cap_power_rated,H2_full_cap_heat_cap_rated,Have H2 half capacity results,H2_half_cap_power_rated,H2_half_cap_heat_cap_rated,Have H2 min capacity results,H2_min_cap_power_rated,H2_min_cap_heat_cap_rated,Have H3 extended mode results,H3_ext_cap_power_rated,H3_ext_cap_heat_cap_rated,Have H3 full mode results,H3_full_cap_power_rated,H3_full_cap_heat_cap_rated,Have H3 half capacity results,H3_half_cap_power_rated,H3_half_cap_heat_cap_rated,indoor_sound_level,outdoor_sound_level,Residential TCSPF_cold,Residential TCSPF_mixed,Residential TCSPF_hot,Commercial TCSPF_cold,Commercial TCSPF_mixed,Commercial TCSPF_hot,Residential tcec_cold,Residential tcec_mixed,Residential tcec_hot,Commercial tcec_cold,Commercial tcec_mixed,Commercial tcec_hot,c_star_cold,c_star_mixed,c_star_hot,Residential HSPF_cold,Residential HSPF_mixed,Residential HSPF_hot,Commercial HSPF_cold,Commercial HSPF_mixed,Commercial HSPF_hot,Residential thec_cold,Residential thec_mixed,Residential thec_hot,Commercial thec_cold,Commercial thec_mixed,Commercial thec_hot,h_star_cold,h_star_mixed,h_star_hot,Outdoor unit only,Have_water_tank,Rated cool power input with water,Rated cool cap with water W,Rated cool cap with water kW,Residential tcec_cold with water,Residential tcec_mixed with water,Residential tcec_hot with water,PIA inoperative power,Rated AEER,Rated ACOP
AS/NZS 3823.2:2009/Amdt 1:2010,2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B10UFV-A & RAS-10SAVR-A,,,TOSHIBA,0.4,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,0.6,2.0,2.4,220.0,,,,600.0,0.75,3.2,Calorimeter Room,4.0,4.27,True,100.0,,5.22,5.22,,,,,,3.9216,4.1829,,,3.3432,3.8658,3.0,3.5,Calorimeter Room,Single,R410A,New Zealand,51289,,2011-03-31,Superseded,Reverse Cycle,700.0,Class 3,,,,,,,,4.0,Unavailable,,,http://www.ahi-carrier.co.nz/,http://www.toshibaheatpumps.com,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.5.png,ZAC0315,,,Inverter,,,,0.6,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2009/Amdt 1:2010,2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B13UFV-A & RAS-13SAVR-A2,,,TOSHIBA,1.05,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,1.02,2.45,3.5,220.0,,,,600.0,1.16,4.1,Calorimeter Room,3.43,3.53,True,100.0,,5.22,5.22,,,,,,3.3542,3.4867,,,2.2084,2.4734,2.0,2.0,Calorimeter Room,Single,R410A,New Zealand,51303,,2011-03-31,Superseded,Reverse Cycle,700.0,Class 3,,,,,,,,3.43,Unavailable,,,http://www.ahi-carrier.co.nz/,http://www.toshibaheatpumps.com,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png,ZAC0313,,,Inverter,,,,1.02,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2009/Amdt 1:2010,2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B16UFV-A & RAS-16UAVR-A,,,TOSHIBA,1.0,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,1.45,3.5,4.5,220.0,,,,600.0,1.43,5.0,Calorimeter Room,3.243,3.497,True,100.0,,5.0,5.0,,,,,,3.2043,3.4547,,,1.9086,2.4094,1.5,2.0,Calorimeter Room,Single,R410A,New Zealand,52329,,2011-03-31,Superseded,Reverse Cycle,700.0,Class 4,,,,,,,,3.243,Unavailable,,,http://www.ahi-carrier.co.nz/,http://www.toshibaheatpumps.com,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_2.png,ZAC0320,,,Inverter,,,,1.45,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2011/Amdt A:2013,NZ MEPS April 2013,AS/NZS 3823.1.1:2012,RAS-B18UFV-A/RAS-18SAV2-A,,,TOSHIBA,1.4,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,1.63,3.5,4.9,220.0,0.0,,,600.0,1.81,5.8,Calorimeter Room,2.9896,3.2042,True,84.2,,5.0,5.0,4.03015873015873,5.07563025210084,,,,2.95909118375733,3.17384727435711,,,1.4182,1.8477,1.0,1.5,Calorimeter Room,Single,R410A,"Fiji,New Zealand",72764,2113-06-21,,Approved,Reverse Cycle,700.0,Class 4,False,,False,,,,,2.9896,Available,,,http://www.ahi-carrier.co.nz/,http://www.toshibaheatpumps.com,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1_1.5.png,ZAC0446,,Variable output compressor,Inverter,,,,1.63,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9753,3.1748
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQN180LB / RZQ180L,,,DAIKIN,3.0,Ducted,Single Split System,,Air,Air,"Thailand,Australia",5.88,15.0,18.0,970.0,0.0,,,500.0,6.15,20.0,Enthalpy Test Room,3.141,3.4814,True,86.31,,33.0,33.0,3.53193832599119,0.0,,,,3.07920628038227,3.42063151565636,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",72921,2020-07-02,,Approved,Reverse Cycle,1230.0,Class 7,False,,True,False,False,False,KRP58M51,3.141,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1623,,Variable output compressor,Inverter,,,,5.88,,,,,,,,,,,,,,,,,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0042,3.1941
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQN200LB / RZQ200LY,,,DAIKIN,3.0,Ducted,Single Split System,,Air,Air,"Australia,Thailand",6.44,17.0,20.0,1430.0,0.0,,,500.0,7.0,22.4,Enthalpy Test Room,3.1152,3.5835,True,92.0,,33.0,33.0,3.74135446685879,0.0,,,,3.06231486527215,3.52425454448421,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",73041,2020-06-23,,Approved,Reverse Cycle,970.0,Class 11,False,,True,,,,KRP58M51,3.1152,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,True,,,AAC1601,,Variable output compressor,Inverter,,,,6.44,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0527,3.1498
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,CAY470T / EVY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Packaged,,Air,Air,Australia,15.4,36.873,45.77,,0.0,,,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,100.0,,85.9,85.9,0.0,0.0,,,,2.99595456454076,3.73688804352247,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",75245,2021-10-04,,Approved,Reverse Cycle,,Class 12,True,,False,True,True,True,,3.0538,Available,,,http://www.actronair.com.au/,http://www.actronair.com.au,False,,,AAC2252,,"Multiple compressors,Fixed Speed Compressor",Staged Mulitple Compressors,,,,15.4,,,,,,,,,,,,,,,,,14.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,PKY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Packaged,,Air,Air,Australia,15.4,36.873,45.77,,0.0,,,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,100.0,,85.9,85.9,0.0,0.0,,,,2.99595456454076,3.73688804352247,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",75245,2021-10-04,,Approved,Reverse Cycle,,Class 12,True,,False,True,True,True,,3.0538,Available,,,http://www.actronair.com.au/,http://www.actronair.com.au,False,,,AAC2252,,"Multiple compressors,Fixed Speed Compressor",Staged Mulitple Compressors,,,,15.4,,,,,,,,,,,,,,,,,14.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,CAY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0.0,0.0,0.0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,0.0,,85.9,85.9,0.0,0.0,,,,2.99595456454076,3.73688804352247,,,0.0,0.0,0.0,0.0,None,Three,R410A,"Australia,New Zealand",75246,2021-08-29,2016-08-30,Superseded,Reverse Cycle,,Class 12,True,,,True,True,True,,3.0538,Available,,,http://www.actronair.com.au/,http://www.actronair.com.au,False,,,AAC2196,,Multiple compressors,,,,,15.4,,,,,,,,,,,,,,,,,14.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,CAY470T / EVY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0.0,0.0,0.0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,0.0,,85.9,85.9,0.0,0.0,,,,2.99595456454076,3.73688804352247,,,0.0,0.0,0.0,0.0,None,Three,R410A,"Australia,New Zealand",75246,2021-08-29,2016-08-30,Superseded,Reverse Cycle,,Class 12,True,,,True,True,True,,3.0538,Available,,,http://www.actronair.com.au/,http://www.actronair.com.au,False,,,AAC2196,,Multiple compressors,,,,,15.4,,,,,,,,,,,,,,,,,14.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,PKY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0.0,0.0,0.0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,0.0,,85.9,85.9,0.0,0.0,,,,2.99595456454076,3.73688804352247,,,0.0,0.0,0.0,0.0,None,Three,R410A,"Australia,New Zealand",75246,2021-08-29,2016-08-30,Superseded,Reverse Cycle,,Class 12,True,,,True,True,True,,3.0538,Available,,,http://www.actronair.com.au/,http://www.actronair.com.au,False,,,AAC2196,,Multiple compressors,,,,,15.4,,,,,,,,,,,,,,,,,14.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9171,3.2788
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,APC024VA3B,APH024VA3B,,SPECIALIZED ENGINEERING,5.74,Ducted,Packaged,,Air,Air,Australia,7.0,18.86,24.6,,0.0,,,,6.5,23.8,Enthalpy Test Room,3.781,3.6523,False,,,89.0,89.0,0.0,0.0,,,,3.62249575717379,3.49114526344198,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",76872,2020-03-18,,Approved,Reverse Cycle,,Class 11,False,,False,,,,,3.781,Available,,,,http://www.specializedengineering.com.au,False,,,AAC1445,,,,,,,7.0,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3695,3.4996
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,APH024VA3B,APH024VA3B,,SPECIALIZED ENGINEERING,5.74,Ducted,Packaged,,Air,Air,Australia,7.0,18.86,24.6,,0.0,,,,6.5,23.8,Enthalpy Test Room,3.781,3.6523,False,,,89.0,89.0,0.0,0.0,,,,3.62249575717379,3.49114526344198,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",76872,2020-03-18,,Approved,Reverse Cycle,,Class 11,False,,False,,,,,3.781,Available,,,,http://www.specializedengineering.com.au,False,,,AAC1445,,,,,,,7.0,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3695,3.4996
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,SWWR-35GW,,,SolAir World,0.593,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.93,2.907,3.5,,0.0,,,,0.99,3.8,Calorimeter Room,3.7538,3.8521,False,,,5.0,5.0,0.0,0.0,,,,3.68649909852582,3.78722980376532,,,2.873,3.0745,2.5,3.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",79651,2019-06-04,,Approved,Reverse Cycle,,Class 3,False,,False,,,,,3.7538,Available,,,http://www.chuanglan.com/,http://www.solairworld.com/,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2.5_3.png,AAC0938,,,,,,,0.93,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6963,3.774
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MWA09I,,,MEC,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.73,2.1,2.6,,0.0,,,,0.78,2.8,Calorimeter Room,3.5883,3.6416,True,84.8,,1.0,1.0,3.86871508379888,3.92957746478873,,,,3.57227848435971,3.62594935101222,,,2.6446,2.7519,2.5,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",80347,2019-06-23,,Approved,Reverse Cycle,,Class 3,False,,False,,,,,3.5883,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2.5_2.5.png,AAC0958,,Variable output compressor,Inverter,,,,0.73,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5452,3.5743
