ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,Family Name,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Water Consumption (litres),Star Rating (old),Star Image Large,Star Image Small
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14242,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6S-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14243,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14243,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6S-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15289,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15289,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15292,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2005 (Legacy),AWARD,8,294,Single,China,False,570.0,845.0,,DW458S,,AS/NZS 2007.1:2005,1.7583,1.5,0.0,1.916636,NORMAL,118.0,New Zealand,0.288119,50017,Approved,13.033,Freestanding,False,445.0,,,Single product class,Available,,http://www.awardappliances.co.nz,13.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2007.2:2005 (Legacy),PARMCO,12,311,Single,China,False,580.0,850.0,AS/NZS,PD6-P*F-1,PD6-P*F-1,AS/NZS 2007.1:2005,2.72794517526447,2.5,0.0,2.38,Normal,113.88,New Zealand,0.0,51544,Approved,12.0,Freestanding,False,600.0,2116-08-29,,,Available,http://www.parmco.co.nz/,http://www.parmco.co.nz,22.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2007.2:2005 (Legacy),PARMCO,12,311,Single,China,False,580.0,850.0,AS/NZS,PD6-PSF-1,PD6-P*F-1,AS/NZS 2007.1:2005,2.72794517526447,2.5,0.0,2.38,Normal,113.88,New Zealand,0.0,51544,Approved,12.0,Freestanding,False,600.0,2116-08-29,,,Available,http://www.parmco.co.nz/,http://www.parmco.co.nz,22.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2007.2:2005 (Legacy),PARMCO,12,311,Single,China,False,580.0,850.0,AS/NZS,PD6-PWF-1,PD6-P*F-1,AS/NZS 2007.1:2005,2.72794517526447,2.5,0.0,2.38,Normal,113.88,New Zealand,0.0,51544,Approved,12.0,Freestanding,False,600.0,2116-08-29,,,Available,http://www.parmco.co.nz/,http://www.parmco.co.nz,22.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2007.2:2005 (Legacy),ASKO,14,385,Single,Sweden,False,570.0,860.0,,D5424,,AS/NZS 2007.1:2005,2.56,2.5,0.0,0.9,NORMAL  PROGRAME; LOW TEMP; SHORT DRY,107.0,New Zealand,0.1,59772,Approved,13.7,Built-in,False,597.0,,,Single product class,Unavailable,,http://www.asko.org.nz,13.9,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,EUROTAG,12,274,Single,China,True,600.0,850.0,IEC,W60A1A401,W60A1A401,AS/NZS 2007.1:2005,3.08307190323816,3.0,0.688,0.22,normal,112.0,"Australia,Fiji,New Zealand",0.022,74098,Approved,11.5,Freestanding,False,600.0,2023-04-27,,Single product class,Available,,,11.5,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,EUROTAG,12,274,Single,China,True,600.0,850.0,IEC,W60A1A401A,W60A1A401,AS/NZS 2007.1:2005,3.08307190323816,3.0,0.688,0.22,normal,112.0,"Australia,Fiji,New Zealand",0.022,74098,Approved,11.5,Freestanding,False,600.0,2023-04-27,,Single product class,Available,,,11.5,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,EUROTAG,12,274,Single,China,True,600.0,850.0,IEC,W60A1A401F,W60A1A401,AS/NZS 2007.1:2005,3.08307190323816,3.0,0.688,0.22,normal,112.0,"Australia,Fiji,New Zealand",0.022,74098,Approved,11.5,Freestanding,False,600.0,2023-04-27,,Single product class,Available,,,11.5,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Everdure,6,191,Single,China,False,,,IEC,DWC065PS,Everdure Benchtop,AS/NZS 2007.1:2005,2.15143230290901,2.0,0.0,2.25,Normal,107.55,"Australia,Fiji,New Zealand",1.89,80909,Approved,8.7,On Bench,False,,2019-06-04,,Single product class,Available,,http://everdure.com/,8.7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
