ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model No,Family Name,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Old Star Rating,Star Image Large,Star Image Small
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),NOUVEAU,4,FALSE,Timer,China,,,NDR4,,AS/NZS 2442.1:1996/Amdt 4:2006,180,2.006833015,2,Strong Heat,200,New Zealand,Approved,50351,3.115,,Vented,,,,Single product class,Available,http://www.applico.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),Tuscany,6,FALSE,Autosensing,China,870,650,T-GDZ60-09E,,AS/NZS 2442.1:1996,265,2,2,Extra Dry Full Load,230,New Zealand,Approved,53493,4.702,,Vented,600,,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),ACQUA,6,FALSE,Autosensing,China,,,GY-ESD60W,,AS/NZS 2442.1:1996,265,2,2,Extra Dry/Full Load,230,New Zealand,Approved,56709,4.702,,Vented,,,,Single product class,Available,http://www.jalmacsales.com/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),TRIESTE,6,FALSE,Autosensing,China,870,650,ED-D6KG,,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.121848128,2,Extra Dry Full Load,230,"Fiji,New Zealand",Approved,66449,4.702,,Vented,600,,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Indesit,4.5,TRUE,Autosensing,Italy,535,850,IWDC 7125,IWDC 7125,AS/NZS 2442.1:1996/Amdt 4:2006,193,2.302489021,2,11 Cottons Cupboard Dry,283,"Australia,Fiji,New Zealand",Approved,81299,3.616,33.05,Condenser,595,20/06/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Indesit,4.5,TRUE,Autosensing,Italy,535,850,IWDC 7125 B (AUS),IWDC 7125,AS/NZS 2442.1:1996/Amdt 4:2006,193,2.302489021,2,11 Cottons Cupboard Dry,283,"Australia,Fiji,New Zealand",Approved,81299,3.616,33.05,Condenser,595,20/06/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Indesit,4.5,TRUE,Autosensing,Italy,535,850,IWDC 7125 B (AUS)1,IWDC 7125,AS/NZS 2442.1:1996/Amdt 4:2006,193,2.302489021,2,11 Cottons Cupboard Dry,283,"Australia,Fiji,New Zealand",Approved,81299,3.616,33.05,Condenser,595,20/06/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Ariston,4.5,TRUE,Autosensing,Italy,535,850,ARMF 125,ARMF 125,AS/NZS 2442.1:1996/Amdt 4:2006,193,2.302489021,2,11 Cotton Cupboard Dry,283,"Australia,Fiji,New Zealand",Approved,81427,3.616,33.05,Condenser,595,17/07/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Ariston,4.5,TRUE,Autosensing,Italy,535,850,ARMF125 (AUS),ARMF 125,AS/NZS 2442.1:1996/Amdt 4:2006,193,2.302489021,2,11 Cotton Cupboard Dry,283,"Australia,Fiji,New Zealand",Approved,81427,3.616,33.05,Condenser,595,17/07/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Ariston,4.5,TRUE,Autosensing,Italy,535,850,ARMF125 (AUS)1,ARMF 125,AS/NZS 2442.1:1996/Amdt 4:2006,193,2.302489021,2,11 Cotton Cupboard Dry,283,"Australia,Fiji,New Zealand",Approved,81427,3.616,33.05,Condenser,595,17/07/19,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
