Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
False,AS/NZS 4474.2:2009,TUSCANY,284,157.8,157.8,Freezer,Chest,China,,Freezer,0,157.8,6C,,False,MEPS 2005 (table 3a),BD-155,,AS/NZS 4474.1:2007,2.5,2.8048,,,311.95,New Zealand,39516,Superseded,157.8,,,2011-12-01,Class 8,Unavailable,,,190.0,0.483,252.48,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0171
False,AS/NZS 4474.2:2001 (Legacy),TRIESTE,320,"100.0,15.0","98.0,14.0","Fresh Food,Chill",Upright,China,580.0,Refrigerator,100,0,2,850.0,False,MEPS 2005 (table 3a),DF1-15,,AS/NZS 4474.1:2007,1.0,0.7138,,,322.785,New Zealand,40833,Superseded,115.0,500.0,,2010-03-31,Class 2,Unavailable,,,289.0,0.29,116.5,2,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0176
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,304,164.0,163.0,Freezer,Chest,New Zealand,662.0,Freezer,0,164,6C,903.0,False,MEPS 2010,H160S,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.611,,,336.874,"Australia,Fiji,New Zealand",48850,Approved,164.0,611.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,262.4,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0267
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,304,164.0,163.0,Freezer,Chest,New Zealand,662.0,Freezer,0,164,6C,903.0,False,MEPS 2010,H160SL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.611,,,336.874,"Australia,Fiji,New Zealand",48850,Approved,164.0,611.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,262.4,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0267
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,348,216.0,215.0,Freezer,Chest,New Zealand,662.0,Freezer,0,216,6C,903.0,False,MEPS 2010,H220SL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5851,,,379.638,"Australia,Fiji,New Zealand",48851,Approved,216.0,746.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,345.6,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0266
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,348,216.0,215.0,Freezer,Chest,New Zealand,662.0,Freezer,0,216,6C,903.0,False,MEPS 2010,H220X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5851,,,379.638,"Australia,Fiji,New Zealand",48851,Approved,216.0,746.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,345.6,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0266
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,392,276.0,275.0,Freezer,Chest,New Zealand,662.0,Freezer,0,276,6C,903.0,False,MEPS 2010,H280SL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5892,,,428.982,"Australia,Fiji,New Zealand",49196,Approved,276.0,901.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,441.6,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0265
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,392,276.0,275.0,Freezer,Chest,New Zealand,662.0,Freezer,0,276,6C,903.0,False,MEPS 2010,H280X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5892,,,428.982,"Australia,Fiji,New Zealand",49196,Approved,276.0,901.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,441.6,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0265
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,586,511.0,510.0,Freezer,Chest,New Zealand,730.0,Freezer,0,511,6C,903.0,False,MEPS 2010,H510SL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.2883,,,622.246,"Australia,Fiji,New Zealand",49202,Approved,511.0,1351.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,817.6,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0263
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,586,511.0,510.0,Freezer,Chest,New Zealand,730.0,Freezer,0,511,6C,903.0,False,MEPS 2010,H510X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.2883,,,622.246,"Australia,Fiji,New Zealand",49202,Approved,511.0,1351.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,817.6,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0263
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,703,699.0,698.0,Freezer,Chest,New Zealand,730.0,Freezer,0,699,6C,903.0,False,MEPS 2010,H701SL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.2601,,,776.858,"Australia,Fiji,New Zealand",49205,Approved,699.0,1781.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,1118.4,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0262
,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,703,699.0,698.0,Freezer,Chest,New Zealand,730.0,Freezer,0,699,6C,903.0,False,MEPS 2010,H701X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.2601,,,776.858,"Australia,Fiji,New Zealand",49205,Approved,699.0,1781.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,1118.4,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0262
