Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
81191,JVC,LT-50N530Z,,"Australia,Fiji,New Zealand",China,125.731,6754.867344,LCD (LED),,,,104.0,,,386.0,Approved,2019-06-04,,Single product class,Unavailable,3.5,,,3.64387749958729,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV0973
81737,TEAC,LED2402FV,,"Fiji,New Zealand",China,59.824,1528.86807072,LCD (LED),0.37,0.0,0.0,25.6,7.0,7.4707038946421,96.0,Approved,2114-06-16,,Single product class,Available,4.0,,http://www.teac.co.nz,4.47,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,EPS,Digital,AS/NZS 62087.1:2010,ZTV0189
81738,TEAC,LEDV2416FV,,"Fiji,New Zealand",China,59.824,1528.86807072,LCD (LED),0.37,0.0,0.0,25.6,7.0,7.4707038946421,96.0,Approved,2114-06-16,,Single product class,Available,4.0,,http://www.teac.co.nz,4.47,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,EPS,Digital,AS/NZS 62087.1:2010,ZTV0190
81740,sunview,SA28ADEHDP,,Australia,China,69.863,2095.875,LCD (LED),0.31,0.0,0.0,24.5,,,91.0,Approved,2019-06-27,,Single product class,Available,5.5,,http://www.SunView.com.au,5.72472462585548,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ATV0992
81781,WINTAL,15LED14HD,,Australia,China,39.491,666.222742,LCD (LED),0.34,9.54,0.0,9.54,,,37.0,Approved,2019-06-23,,Single product class,Available,6.0,,http://www.wintal.com.au,6.54915572125867,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV0985
81782,KONKA,KDL55JT611A,,New Zealand,China,143.027,8875.8702,LCD (LED),0.28,0.0,0.0,96.4,8.0,8.15548203803623,354.0,Approved,2114-06-18,,Single product class,Available,5.0,,,5.16,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Digital,AS/NZS 62087.1:2010,ZTV0191
81809,SAMSUNG ELECTRONICS,UA85HU8500W,,"Australia,Fiji,New Zealand",Malaysia,214.783,19712.16,LCD (LED),0.5,0.0,0.0,211.0,,,773.0,Approved,2019-06-26,,Single product class,Available,5.0,,http://www.samsung.com.au,5.04564159968086,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Digital,,ATV0991
81819,SHARP,LC-60LE360X,,"Australia,Fiji,New Zealand",Malaysia,152.493,9936.3516,LCD (LED),0.29,18.09,0.5,122.8,,,453.0,Approved,2019-06-20,,Single product class,Available,4.5,http://www.sharp.net.au/,,4.51929035497453,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV0981
81825,SHARP, ,,"Australia,Fiji,New Zealand",Malaysia,176.572,13321.584,LCD (LED),0.31,18.3,0.5,122.9,,,454.0,Approved,2019-06-23,,Single product class,Available,5.5,http://www.sharp.net.au/,,5.74768329557535,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV0984
81825,SHARP,LC-70LE360X,,"Australia,Fiji,New Zealand",Malaysia,176.572,13321.584,LCD (LED),0.31,18.3,0.5,122.9,,,454.0,Approved,2019-06-23,,Single product class,Available,5.5,http://www.sharp.net.au/,,5.74768329557535,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV0984
